"Day","Cash On Hand"
11,7645697
12,9797805
13,9652263
14,11793230
15,14099151
16,16403528
17,20269031
18,21509387
19,23254243
20,23311181
21,27603591
22,28901074
23,33058509
24,33245824
25,39269281
26,42999389
27,46946761
28,49987943
29,52850672
30,57749854
31,61061192
32,62976860
33,71682197
34,83092314
35,92828663
36,94741114
37,96850008
38,100228686
39,103390896
40,106042778
41,108687465
42,113358187
43,115760386
44,127159739
45,134793838
46,136111690
47,139400504
48,141864134
49,145065497
50,151107675
51,154748531
52,163834714
53,172331077
54,180691582
55,182971390
56,184628827
57,187310539
58,190557941
59,194860375
60,197960843
61,202023248
62,205078079
63,207761971
64,209810294
65,223164939
66,225789563
67,229324322
68,233686715
69,236126343
70,248309831
71,260203404
72,266355862
73,268629602
74,270156853
75,271824517
76,273704997
77,276380956
78,278848746
79,281643433
80,286320138
81,289164264
82,291696282
83,294568655
84,305795364
85,314348068
86,317765577
87,320237584
88,324808588
89,328325806
90,332105726